name,email,password,email_verified_at,remember_token,created_at,updated_at
Pandu Wijaya,pandu.wijaya@gmail.com,$2b$10$1bwx824XiTAM.2eDcmkYR.TXy739FxpxsrEoQyz2aCAF/FxHk0JwC,2024-01-15 08:00:00,,2024-01-15 08:00:00,
Sinta Wibowo,sinta.wibowo@gmail.com,$2b$10$VYI/xkeY0f1ocQoRLQ1eh.MGDaFdvgnWEGRIfG35dqw0PA9sbYaq.,2024-01-15 08:00:00,,2024-01-15 08:00:00,
Fajar Kusuma,fajar.kusuma@gmail.com,$2b$10$zSD5XKeZjm7viBRZEAzsk.YzV2NvVrCPBlwzZr.JLY8QJyDRk9jRi,2024-01-15 08:00:00,,2024-01-15 08:00:00,
Ulfa Hartono,ulfa.hartono@gmail.com,$2b$10$luBOCWuKyVHvrAc4gYQ2QuTRRhGS3bhTm0olWTaho3Ir.xPn7.0JS,2024-01-15 08:00:00,,2024-01-15 08:00:00,
Andi Suryadi,andi.suryadi@gmail.com,$2b$10$ETEHJAhrqHGv3yOtqA426uHXSKT2vqPo7qfmQfkMvyL0XCbjHG5d6,2024-01-15 08:00:00,,2024-01-15 08:00:00,
Yola Setiawan,yola.setiawan@gmail.com,$2b$10$NkNgtF16yPXF7hS6OxrKzudN73M7mWWgmJ2r9C56G6yFI5ZuZyW7W,2024-01-15 08:00:00,,2024-01-15 08:00:00,
Nino Rahardjo,nino.rahardjo@gmail.com,$2b$10$.SDRqKn3ASPr.Ig5v8dbqu4lLVLP598HXYWZJI2qTSEwA3Lcvjwge,2024-01-15 08:00:00,,2024-01-15 08:00:00,
Kevin Rahardjo,kevin.rahardjo@gmail.com,$2b$10$4.vc.jTebwWlM3O5sFMEOugPAL9TOP6Ujve/NYenP8kZO3MjhvZQ2,2024-01-15 08:00:00,,2024-01-15 08:00:00,
Citra Hartono,citra.hartono@gmail.com,$2b$10$aTc95r/LN8.bLNeMmd5Hc.D3lU7/et8BKItBpJK9XhNuYyO7.XF2e,2024-01-15 08:00:00,,2024-01-15 08:00:00,
Zara Rahardjo,zara.rahardjo@gmail.com,$2b$10$L5U12Islb/al9qWPwtf6BO5eOS59iKBKGSELWba8kblJjX8VfC28.,2024-01-15 08:00:00,,2024-01-15 08:00:00,
Nadia Hartono,nadia.hartono@gmail.com,$2b$10$B5cl87wKT7ujNBpOnWHo3.aN0eE5.ZTq97RHxv5WhZccbgTaJssm2,2024-01-15 08:00:00,,2024-01-15 08:00:00,
Julia Wibowo,julia.wibowo@gmail.com,$2b$10$O3cF7KczvtlCA7qswA3KVODfJa7ZSJtsoqr5wrhUz2kgoSpjG6Tlq,2024-01-15 08:00:00,,2024-01-15 08:00:00,
